image,steering
IMG/center_2016_12_01_13_30_48_287.jpg,0.0
IMG/center_2016_12_01_13_30_48_404.jpg,0.0
IMG/center_2016_12_01_13_31_12_937.jpg,0.0
IMG/center_2016_12_01_13_31_13_037.jpg,0.0
IMG/center_2016_12_01_13_31_13_177.jpg,0.0
IMG/center_2016_12_01_13_31_13_279.jpg,0.0
IMG/center_2016_12_01_13_31_13_381.jpg,0.0
IMG/center_2016_12_01_13_31_13_482.jpg,0.0
IMG/center_2016_12_01_13_31_13_584.jpg,0.0
IMG/center_2016_12_01_13_31_13_686.jpg,0.0
IMG/center_2016_12_01_13_31_13_786.jpg,0.0
IMG/center_2016_12_01_13_31_13_890.jpg,0.0
IMG/center_2016_12_01_13_31_13_991.jpg,0.0
IMG/center_2016_12_01_13_31_14_092.jpg,0.0
IMG/center_2016_12_01_13_31_14_194.jpg,0.0
IMG/center_2016_12_01_13_31_14_295.jpg,0.0
IMG/center_2016_12_01_13_31_14_398.jpg,0.0
IMG/center_2016_12_01_13_31_14_500.jpg,0.0
IMG/center_2016_12_01_13_31_14_602.jpg,0.0
IMG/center_2016_12_01_13_31_14_702.jpg,0.0
IMG/center_2016_12_01_13_31_14_803.jpg,0.0
IMG/center_2016_12_01_13_31_14_904.jpg,0.0
IMG/center_2016_12_01_13_31_15_005.jpg,0.0
IMG/center_2016_12_01_13_31_15_106.jpg,0.0
IMG/center_2016_12_01_13_31_15_208.jpg,0.0
IMG/center_2016_12_01_13_31_15_308.jpg,0.0
IMG/center_2016_12_01_13_31_15_411.jpg,0.0
IMG/center_2016_12_01_13_31_15_513.jpg,0.0
IMG/center_2016_12_01_13_32_35_588.jpg,0.0
IMG/center_2016_12_01_13_32_39_212.jpg,0.0
IMG/center_2016_12_01_13_32_40_171.jpg,0.0
IMG/center_2016_12_01_13_32_41_438.jpg,0.0
IMG/center_2016_12_01_13_32_41_538.jpg,0.0
IMG/center_2016_12_01_13_32_41_640.jpg,0.0
IMG/center_2016_12_01_13_32_41_740.jpg,0.0
IMG/center_2016_12_01_13_32_41_841.jpg,0.0
IMG/center_2016_12_01_13_32_41_943.jpg,0.0
IMG/center_2016_12_01_13_32_42_043.jpg,0.0
IMG/center_2016_12_01_13_32_42_143.jpg,0.0
IMG/center_2016_12_01_13_32_42_245.jpg,0.0
IMG/center_2016_12_01_13_32_42_346.jpg,0.0
IMG/center_2016_12_01_13_32_42_446.jpg,0.0
IMG/center_2016_12_01_13_32_42_548.jpg,0.0
IMG/center_2016_12_01_13_32_42_648.jpg,0.0
